reference	predicted
السَّلَامُ عَلَيكُم	السَّلَام عَلِيْكُمْ
السَّلَامُ عَلَيكُم وَرَحمَةُ اللهِ وَبَرَكَاتُه	السَّلَامْ عَلَيْكُمْ وَرْحْمَة الله وَبْرَكَاته
تِسمَحلِي	تَسْمَحْلِي
تِسمَحلِي	تَسْمَحْلِي
تِسمَحلِي	تَسْمَحْلِي
لَو تَكَرَمت	لَو تَكْرَمْتْ
لَو سَمَحت عَايز	لو سَمَحْتْ عَايِزْ
أنَا عَايِز لَو سَمَحت	اَنَا عَايْزْ لو سَمَحْتَ
لَو سَمَحت جِبلِي	لو سَمْحْتْ جِبْلِي
عَندَك حَجز	عَنْدَكْ حَجِّزْ
اِستَنَّا شِوَيَّه	اِسْتْنَا شَوِيهْ
هَستَنَّى هِنَا	هَسَتْنَى هَنَا
المََطعَم بِيئفِل إِمتَه	الْمَطْعَم بِيِيْفِلْ اِمْتَهُ
المََطعَم بِيفتَح إِمتَه 	الْمَطْعَم بِيفْتَحْ اَمْتِه
المََطعَم دَه بِيِعمِل فِطَار	الْمَطْعِم دَه بِيعْمِلْ فَطَارْ
هُوَّ المََطعَمدَه بِيِعمِل غَدَا وِعَشَا 	هُو الْمَطْعَمْدهْ بِيَعْمَل غَدَا وَعَشَا
هُوَّ المَطعَم دَه بِيِعمِل عَشَا 	هُو الْمَطْعِم دَهْ بِيَعْمَلْ عَشَا
الصُّوت مُش وَاضِح	الصَّوْتْ مِشْ وَاضِح
مُش سَمعَك	مش سِمْعَكْ
أَنَا مُش سَامِع صُوتَك	اَنَا مِشْ سَامَعْ صُوتَكْ
صُوتَك وَاطِي	صُوْتِكْ وَاطِي
أَتمَنَّى التَّصحِيح	اَتْمَنى الْتَصْحِيْحْ
لَو سَمَحت عَدِّلهَالِي	لو سَمْحْتْ عَدَلْهَالِي
عَيزَك تِعِيد عَلَيَّ المَعلُومَات إِللِّي أُلتَهَا	عَيْزَكْ تَعِيدْ عَلِي الْمَعْلُومَاتْ اللِي التهَا
عَايِز أَتكَلَّم مَعَ المَسؤُول	عَايِزْ اَتْكَلِم مَعْ الْمَسوول
مِين المَسؤُول	مِيْنْ الْمَسوول
مُش فَاهِم إِنتَ بِتئُول اِيه	مِشْ فَاهِمْ اِنْتِ بِتيول اَيْه
مُش فَهِمنِي	مِشْ فَهْمْنِي
مَفهِمتِش اِللِّي أَنَا عَيزُه	مَفْهَمْتِشْ الْلِي اَنَا عَيْزْهْ
مَا فهِمتِنِيش	مَا فَهَمْتِنِيشْ
مُش فَهمِك	مش فَهَمْكْ
مُش فَهمَه إللِّي بَئُولُه	مُشْ فَهْمْهُ الْلِّي بِيُولْه
مَافِهِمتِيش اَنَا عَايِز إِيه	مَافْهَمْتِيشْ اَنَا عَايْز اِيه
مَافِهِمتِنِيش	مَافْهَمْتِنِيشْ
هُوَّ فِيه مَكَان لِلِّي مَا بِيدَخَّنُوش	هُو فِيهْ مَكَان لِلِي مَا بِيدْخْنُوشْ
مَعَندُكُوش قِسم لِلِّي مَا بِيدَخَنُوش	مَعْنْدْكُوشْ قَسْمْ لِلِي مَا بِيْدْخْنُوشْ
أنا عَايِز المَكَان المُخَصَّص للِّي مَا بِيدَخَّنُوش	اَنَا عَايِزْ الْمَكَان الْمَخَصْصْ لِلِي مَا بِيْدْخْنُوشْ
فَين المَكَان المُخَصَص للِّي مَا بِيدَخَّنُوش	فِينْ الْمَكَان الْمَخَصِصْ لِلِي مَا بِيْدْخْنُوشْ
فِين المَكَان المُخَصَّص لِلمُدَخِّنِين	فِينْ الْمَكَان الْمَخْصِصْ لِلْمُدْخنِينْ
مَعلِش أَنَا آسِف	مَعْلِشْ اَنَا اَسْفْ
مَعلِش أَنَا آسِف	مَعْلَشْ اَنَا اَسْفْ
لَو تَكرَّمت	لو تَكْرَمْتْ
تِسمَحلِي	تَسْمَحْلِي
اَيوَه	اَيوهْ
لَأَّه	لَاهْ
حَاضِر	حَاضِر
طَيِّب	طِيْبْ
شُكرًا	شَكْرَا
شُكرًا	شَكْرَا
شُكراً	شَكْرَا
مُش عَايِز	مش عَايِزْ
مُش آدِر	مِشْ اَدْرْ
مُش عَايِز	مش عَايِزْ
أَنَا آسِف	اَنَا اَسْفْ
سَامحنِي	سَامْحْنِي
سَامحِينِي	سَامْحِينِي
أَنَا آسِف جِداً	اَنَا اَسْفْ جِدَا
إِيه نُوع البُهَرَات إللِّي فِي السَّلَطَه	اَيْهْ نُوعْ الْبِهْرَات الْلِي فِي السُّلْطه
إِيه هِّيه أنوَاع السَّلَطَات عَندُكُم	اَيْه هِيهْ انْوَاعْ السُلْطَات عَنْدْكُم
